student_id,name,IQ,college_name,CGPA,internship_completion,placement
226,Areeb,102.0,National University,3.48,No,Placed
227,Zara,68.0,Tech Valley University,3.63,No,Not Placed
228,Zara,100.0,Punjab Institute,2.26,Yes,Not Placed
229,Nitesh,116.0,Global College,2.04,Yes,Placed
230,Mia,94.0,City College,3.38,No,Placed
231,Emily,90.0,City College,2.6,No,Not Placed
232,Emily,79.0,National University,3.25,Yes,Placed
233,Nitesh,72.0,Punjab Institute,2.3,Yes,Not Placed
234,Sophia,112.0,Tech Valley University,2.94,Yes,Placed
235,Ali,97.0,City College,3.01,No,Not Placed
236,Sophia,112.0,National University,3.17,Yes,Placed
237,Hassan,123.0,Punjab Institute,3.03,No,Placed
238,Liam,114.0,Punjab Institute,2.99,No,Not Placed
239,Omar,92.0,National University,2.67,No,Not Placed
240,John,102.0,National University,2.14,Yes,Placed
241,Sara,91.0,Tech Valley University,2.18,Yes,Placed
242,Omar,89.0,National University,2.87,Yes,Not Placed
243,Sophia,105.0,Tech Valley University,2.71,Yes,Placed
244,Nitesh,88.0,Tech Valley University,3.03,No,Not Placed
245,Emily,67.0,Global College,2.61,Yes,Not Placed
246,Nitesh,87.0,Punjab Institute,3.38,Yes,Placed
247,Noah,95.0,Punjab Institute,3.73,Yes,Placed
248,Neha,123.0,Punjab Institute,2.6,No,Not Placed
249,Noah,93.0,Global College,2.39,Yes,Not Placed
250,Ahmed,108.0,Tech Valley University,2.23,No,Not Placed
251,Nitesh,97.0,Tech Valley University,3.23,Yes,Placed
252,Emily,118.0,National University,2.89,Yes,Not Placed
253,Zara,117.0,Global College,2.38,Yes,Not Placed
254,John,118.0,National University,3.31,Yes,Placed
255,Ali,74.0,Global College,2.3,No,Not Placed
256,John,103.0,National University,3.11,Yes,Placed
257,Ali,,City College,3.05,Yes,Placed
258,Neha,106.0,Punjab Institute,3.47,No,Not Placed
259,Emily,110.0,Punjab Institute,2.11,No,Not Placed
260,Sophia,101.0,Tech Valley University,3.78,No,Not Placed
261,Omar,89.0,City College,3.41,Yes,Not Placed
262,Fatima,75.0,Punjab Institute,2.43,Yes,Placed
263,Nitesh,90.0,Tech Valley University,2.37,No,Placed
264,Liam,140.0,City College,2.86,No,Placed
265,Ali,93.0,Punjab Institute,3.64,No,Placed
266,Emily,71.0,National University,3.69,Yes,Placed
267,Sofia,111.0,Global College,3.04,No,Placed
268,Mia,113.0,City College,3.72,No,Placed
269,Neha,119.0,Tech Valley University,2.01,Yes,Not Placed
270,Sara,107.0,City College,2.07,No,Not Placed
271,Sara,113.0,Tech Valley University,3.82,No,Placed
272,Ravi,128.0,City College,3.55,Yes,Placed
273,Mia,89.0,Tech Valley University,2.9,Yes,Placed
274,Omar,86.0,Punjab Institute,3.51,No,Placed
275,Ahmed,84.0,National University,3.91,Yes,Placed
276,Ali,96.0,Punjab Institute,3.54,Yes,Placed
277,Daniel,122.0,National University,3.68,Yes,Placed
278,Ali,108.0,Punjab Institute,3.52,Yes,Not Placed
279,Areeb,107.0,Punjab Institute,2.34,No,Placed
280,Emily,73.0,City College,3.67,Yes,Placed
281,Mia,90.0,Global College,2.39,Yes,Not Placed
282,John,72.0,Tech Valley University,,No,Not Placed
283,Nitesh,118.0,Tech Valley University,2.92,Yes,Placed
284,Liam,124.0,Tech Valley University,3.35,Yes,Placed
285,Liam,112.0,National University,2.99,No,Not Placed
286,Sofia,85.0,Tech Valley University,2.19,Yes,Not Placed
287,Neha,122.0,Tech Valley University,2.58,Yes,Placed
288,Sara,96.0,City College,3.97,No,Placed
289,Nitesh,82.0,Punjab Institute,3.92,No,Not Placed
290,Zara,86.0,Tech Valley University,2.64,No,Not Placed
291,Areeb,94.0,Global College,3.99,No,Not Placed
292,Liam,101.0,Tech Valley University,3.69,No,Not Placed
293,Neha,98.0,National University,3.22,No,Not Placed
294,Nitesh,79.0,National University,2.08,No,Not Placed
295,Ali,118.0,National University,3.8,Yes,Placed
296,Sophia,98.0,Tech Valley University,3.11,Yes,Placed
297,Ali,89.0,City College,3.74,No,Not Placed
298,Nitesh,117.0,Global College,3.67,Yes,Placed
299,Noah,82.0,Tech Valley University,3.67,Yes,Placed
300,Mohammed,76.0,City College,3.4,Yes,Not Placed
301,Nitesh,119.0,City College,2.58,Yes,Placed
302,Omar,128.0,Tech Valley University,2.67,Yes,Placed
303,Neha,93.0,Tech Valley University,2.62,No,Placed
304,Noah,99.0,City College,2.04,No,Not Placed
305,Daniel,83.0,City College,3.17,No,Not Placed
306,Ahmed,100.0,City College,3.4,No,Not Placed
307,Mohammed,93.0,Tech Valley University,3.71,Yes,Placed
308,Ahmed,98.0,City College,2.28,Yes,Not Placed
309,Liam,106.0,National University,3.09,Yes,Placed
310,Omar,84.0,Tech Valley University,2.02,No,Not Placed
311,Ali,95.0,National University,2.19,Yes,Not Placed
312,Zara,73.0,Punjab Institute,2.11,Yes,Not Placed
313,Hassan,95.0,Tech Valley University,3.45,No,Placed
314,Emily,99.0,Punjab Institute,2.16,Yes,Placed
315,Fatima,103.0,City College,3.43,No,Placed
316,Mohammed,104.0,City College,2.5,No,Placed
317,Nitesh,114.0,Global College,3.76,Yes,Placed
318,Noah,77.0,City College,3.63,Yes,Placed
319,Ravi,78.0,Punjab Institute,3.92,No,Not Placed
320,Fatima,108.0,City College,3.77,Yes,Placed
321,John,69.0,Tech Valley University,3.87,Yes,Placed
322,Ravi,103.0,City College,3.72,Yes,Placed
323,Sophia,82.0,Global College,3.39,No,Not Placed
324,Ali,124.0,City College,,Yes,Placed
325,Omar,104.0,Punjab Institute,,No,Not Placed
326,Neha,97.0,Punjab Institute,2.43,,Not Placed
327,Emily,118.0,City College,3.21,Yes,Placed
328,Neha,84.0,Punjab Institute,3.01,No,Not Placed
329,Sofia,87.0,Punjab Institute,3.73,Yes,Not Placed
330,Mia,81.0,Global College,3.91,Yes,Placed
331,Daniel,87.0,Tech Valley University,2.81,No,Not Placed
332,Ahmed,101.0,Global College,3.01,No,Placed
333,Ahmed,107.0,National University,3.94,Yes,Placed
334,Mia,114.0,Global College,2.55,No,Not Placed
335,Liam,73.0,City College,3.58,No,Not Placed
336,Sophia,97.0,Tech Valley University,2.45,No,Not Placed
337,Mohammed,83.0,City College,3.36,Yes,Placed
338,Sara,97.0,National University,2.51,No,Not Placed
339,Daniel,135.0,Tech Valley University,3.77,Yes,Placed
340,Hassan,104.0,Punjab Institute,3.12,Yes,Placed
341,Areeb,113.0,Global College,2.37,No,Not Placed
342,Ali,129.0,City College,2.45,No,Placed
343,Omar,117.0,National University,2.99,Yes,Placed
344,Sofia,93.0,Punjab Institute,3.92,Yes,Placed
345,Sofia,81.0,Global College,3.54,Yes,Placed
346,Areeb,100.0,Punjab Institute,2.98,No,Not Placed
347,Fatima,91.0,Global College,2.68,Yes,Not Placed
348,John,77.0,Tech Valley University,3.1,Yes,Placed
349,Sara,104.0,Punjab Institute,3.5,Yes,Not Placed
350,Ravi,104.0,Punjab Institute,3.57,No,Not Placed
351,Sophia,127.0,Punjab Institute,2.65,No,Not Placed
352,Daniel,95.0,Tech Valley University,3.44,No,Placed
353,Nitesh,104.0,National University,3.32,No,Placed
354,Omar,90.0,Global College,3.92,Yes,Not Placed
355,Sophia,113.0,Punjab Institute,3.86,Yes,Placed
356,Emily,98.0,Tech Valley University,3.58,Yes,Not Placed
357,Ravi,82.0,National University,3.45,No,Not Placed
358,Noah,100.0,Global College,2.55,Yes,Not Placed
359,Mohammed,106.0,Tech Valley University,3.69,Yes,Placed
360,Mia,104.0,Global College,2.86,Yes,Placed
361,Liam,116.0,Punjab Institute,2.54,Yes,Placed
362,Mia,78.0,National University,2.77,Yes,Not Placed
363,Areeb,87.0,Tech Valley University,3.67,No,Placed
364,Zara,110.0,National University,2.3,No,Not Placed
365,Sofia,89.0,Punjab Institute,2.91,No,Not Placed
366,Ali,104.0,National University,2.98,No,Placed
367,Ali,64.0,National University,2.07,Yes,Not Placed
368,Daniel,141.0,City College,2.39,Yes,Placed
369,Ahmed,96.0,National University,3.65,No,Not Placed
370,Emily,118.0,Global College,3.66,No,Placed
371,Omar,95.0,Tech Valley University,2.58,Yes,Not Placed
372,Ravi,106.0,City College,3.75,No,Not Placed
373,Ali,122.0,Tech Valley University,3.54,Yes,Placed
374,Emily,,Tech Valley University,2.84,Yes,Placed
375,Fatima,97.0,Punjab Institute,3.5,No,Placed
376,Areeb,98.0,Punjab Institute,3.92,Yes,Placed
377,Nitesh,115.0,City College,2.92,Yes,Not Placed
378,Sofia,135.0,Punjab Institute,2.48,Yes,Placed
379,Emily,103.0,Punjab Institute,3.88,Yes,Placed
380,Mia,129.0,Punjab Institute,3.21,No,Placed
381,Areeb,96.0,Tech Valley University,2.21,No,Not Placed
382,Neha,114.0,City College,3.15,No,Placed
383,Areeb,117.0,Tech Valley University,3.0,No,Not Placed
384,Daniel,94.0,Global College,3.71,Yes,Placed
385,Liam,89.0,Tech Valley University,3.06,Yes,Not Placed
386,Neha,117.0,Global College,,Yes,Placed
387,Sophia,92.0,National University,3.35,Yes,Placed
388,Areeb,87.0,National University,3.09,Yes,Not Placed
389,Sofia,90.0,Global College,2.47,No,Not Placed
390,Emily,92.0,Global College,3.15,No,Placed
391,Emily,,Tech Valley University,3.64,Yes,Placed
392,Fatima,108.0,Global College,2.06,No,Not Placed
393,John,111.0,City College,3.26,Yes,Placed
394,Ali,106.0,National University,2.7,No,Not Placed
395,Areeb,91.0,National University,2.59,No,Not Placed
396,Mohammed,110.0,Global College,2.79,Yes,Not Placed
397,Areeb,118.0,Punjab Institute,2.68,Yes,Not Placed
398,John,109.0,Punjab Institute,3.66,No,Placed
399,Ahmed,107.0,Global College,2.55,No,Not Placed
400,Sophia,88.0,City College,3.47,No,Placed
401,Mohammed,103.0,Punjab Institute,2.19,No,Not Placed
402,Mia,88.0,Global College,3.9,No,Placed
403,Ali,100.0,City College,3.24,Yes,Placed
404,Areeb,75.0,City College,3.41,Yes,Placed
405,Ravi,76.0,Tech Valley University,2.6,Yes,Not Placed
406,John,97.0,City College,2.82,Yes,Placed
407,Emily,92.0,Punjab Institute,2.45,Yes,Placed
408,Emily,102.0,Punjab Institute,3.87,No,Placed
409,Ahmed,98.0,Global College,2.98,Yes,Placed
410,Liam,100.0,Global College,3.26,Yes,Placed
411,Sophia,109.0,City College,3.47,No,Placed
412,Sofia,93.0,National University,2.74,Yes,Placed
413,Noah,97.0,Tech Valley University,3.44,Yes,Placed
414,Nitesh,122.0,National University,3.35,No,Not Placed
415,Ali,100.0,City College,3.41,No,Not Placed
416,Ali,97.0,City College,2.98,Yes,Placed
417,Mia,101.0,National University,2.77,Yes,Not Placed
418,Hassan,98.0,Tech Valley University,2.44,,Not Placed
419,Areeb,89.0,National University,3.65,Yes,Placed
420,Sofia,85.0,Global College,3.22,Yes,Not Placed
421,Nitesh,89.0,Punjab Institute,2.89,No,Placed
422,Ali,113.0,Global College,3.89,Yes,Placed
423,Ali,91.0,Punjab Institute,2.1,Yes,Not Placed
424,Omar,98.0,City College,3.7,Yes,Placed
425,Mohammed,111.0,Tech Valley University,4.0,No,Placed
426,Hassan,96.0,National University,3.77,No,Placed
427,Sofia,110.0,Tech Valley University,3.62,Yes,Placed
428,Ravi,77.0,National University,2.75,Yes,Not Placed
429,Sofia,98.0,Global College,2.46,Yes,Not Placed
430,Neha,101.0,Global College,3.47,Yes,Not Placed
431,Ahmed,100.0,National University,2.61,Yes,Not Placed
432,Mia,75.0,Tech Valley University,2.35,No,Not Placed
433,Noah,118.0,National University,3.57,Yes,Placed
434,Nitesh,87.0,City College,2.63,Yes,Placed
435,Liam,105.0,Global College,3.83,Yes,Placed
436,Omar,100.0,City College,3.68,Yes,Placed
437,Mohammed,115.0,Global College,3.7,Yes,Placed
438,Ahmed,133.0,Global College,3.54,Yes,Placed
439,Mia,81.0,Punjab Institute,3.76,No,Not Placed
440,Zara,90.0,City College,3.61,No,Not Placed
441,Fatima,103.0,City College,3.21,Yes,Placed
442,John,83.0,Punjab Institute,2.59,Yes,Placed
443,Noah,112.0,Tech Valley University,3.78,Yes,Placed
444,Ravi,113.0,City College,3.68,Yes,Placed
445,Hassan,108.0,National University,,No,Not Placed
446,John,104.0,Punjab Institute,2.08,Yes,Not Placed
447,John,121.0,City College,3.28,No,Placed
448,Mohammed,83.0,Tech Valley University,2.1,No,Not Placed
449,Areeb,101.0,City College,3.85,No,Placed
450,Zara,89.0,Global College,3.92,No,Not Placed
451,Nitesh,113.0,National University,2.38,Yes,Not Placed
452,Liam,72.0,Punjab Institute,3.35,No,Not Placed
453,Nitesh,100.0,Global College,2.18,No,Not Placed
454,Emily,105.0,Tech Valley University,3.46,No,Not Placed
455,John,86.0,Global College,2.69,Yes,Placed
456,Noah,91.0,Global College,3.36,No,Placed
457,Liam,100.0,Tech Valley University,2.75,Yes,Placed
458,Fatima,114.0,Global College,2.29,No,Not Placed
459,Areeb,85.0,Punjab Institute,2.81,Yes,Not Placed
460,Sofia,87.0,City College,2.23,No,Placed
461,Liam,117.0,Global College,3.15,Yes,Placed
462,Ravi,96.0,Punjab Institute,2.08,Yes,Placed
463,Nitesh,88.0,City College,3.05,Yes,Not Placed
464,Zara,111.0,City College,3.77,Yes,Placed
465,Liam,93.0,Global College,3.68,Yes,Placed
466,Liam,115.0,Punjab Institute,3.77,Yes,Placed
467,Sophia,90.0,Global College,3.84,No,Placed
468,Emily,98.0,Tech Valley University,2.21,No,Not Placed
469,Ravi,114.0,City College,2.26,No,Placed
470,Mia,97.0,Global College,3.11,Yes,Not Placed
471,Liam,111.0,City College,3.79,Yes,Placed
472,John,99.0,Punjab Institute,3.95,Yes,Not Placed
473,Sofia,130.0,National University,2.09,No,Placed
474,Zara,124.0,Global College,2.71,No,Placed
475,Mia,80.0,Global College,2.43,Yes,Placed
476,Sofia,108.0,City College,3.51,Yes,Placed
477,Zara,88.0,Punjab Institute,3.28,No,Not Placed
478,Fatima,103.0,Tech Valley University,2.24,No,Placed
479,Neha,101.0,Punjab Institute,,No,Placed
480,Sophia,84.0,Global College,3.37,No,Not Placed
481,Mia,116.0,Tech Valley University,3.56,Yes,Placed
482,Daniel,103.0,Punjab Institute,2.04,Yes,Placed
483,Emily,96.0,National University,3.78,Yes,Placed
484,Areeb,93.0,City College,3.14,Yes,Placed
485,Nitesh,102.0,Punjab Institute,3.62,Yes,Not Placed
486,Sofia,106.0,Punjab Institute,3.62,,Not Placed
487,Sophia,98.0,National University,2.38,Yes,Not Placed
488,John,58.0,Global College,2.22,Yes,Not Placed
489,Emily,100.0,City College,3.44,Yes,Placed
490,Fatima,78.0,Punjab Institute,2.31,Yes,Placed
491,Ravi,97.0,Tech Valley University,3.7,Yes,Placed
492,Mohammed,79.0,Punjab Institute,3.45,No,Not Placed
493,Fatima,79.0,City College,3.68,No,Not Placed
494,Neha,119.0,Punjab Institute,2.6,Yes,Placed
495,Areeb,95.0,National University,2.63,Yes,Not Placed
496,Nitesh,94.0,Punjab Institute,3.34,Yes,Not Placed
497,Hassan,107.0,Punjab Institute,2.06,No,Placed
498,Hassan,94.0,Tech Valley University,3.45,Yes,Not Placed
499,Noah,132.0,National University,3.67,Yes,Placed
500,Daniel,96.0,National University,2.83,No,Not Placed
